# W0 [GeV]	Sigma_muLHC@5.3 TeV [pb]	Sigma_muLHC@7.5 TeV [pb]
6.26780696e+02	1.37704755e-04	7.92485682e-05
6.28767102e+02	1.36452801e-04	7.84833497e-05
6.30759803e+02	1.35196879e-04	7.77157061e-05
6.32758820e+02	1.33936977e-04	7.69456296e-05
6.34764172e+02	1.32712610e-04	7.61999440e-05
6.36775879e+02	1.31487016e-04	7.54536965e-05
6.38793962e+02	1.30257538e-04	7.47050839e-05
6.40818441e+02	1.29024163e-04	7.39540988e-05
6.42849335e+02	1.27794129e-04	7.32040463e-05
6.44886666e+02	1.26614452e-04	7.24764097e-05
6.46930454e+02	1.25431036e-04	7.17464670e-05
6.48980719e+02	1.24243870e-04	7.10142111e-05
6.51037482e+02	1.23052942e-04	7.02796344e-05
6.53100763e+02	1.21858240e-04	6.95510232e-05
6.55170583e+02	1.20659751e-04	6.88395932e-05
6.57246963e+02	1.19457464e-04	6.81259084e-05
6.59329923e+02	1.18251366e-04	6.74099619e-05
6.61419485e+02	1.17041446e-04	6.66917463e-05
6.63515669e+02	1.15857150e-04	6.59843709e-05
6.65618496e+02	1.14701108e-04	6.52890055e-05
6.67727987e+02	1.13541403e-04	6.45914362e-05
6.69844164e+02	1.12378022e-04	6.38916562e-05
6.71967048e+02	1.11210954e-04	6.31896584e-05
6.74096659e+02	1.10079273e-04	6.25032023e-05
6.76233020e+02	1.08964131e-04	6.18237192e-05
6.78376151e+02	1.07845454e-04	6.11420827e-05
6.80526075e+02	1.06723233e-04	6.04582858e-05
6.82682812e+02	1.05597454e-04	5.97723219e-05
6.84846384e+02	1.04468108e-04	5.91064257e-05
6.87016813e+02	1.03335183e-04	5.84426225e-05
6.89194120e+02	1.02198667e-04	5.77767156e-05
6.91378328e+02	1.01058550e-04	5.71086983e-05
6.93569458e+02	9.99161239e-05	5.64391349e-05
6.95767532e+02	9.88279633e-05	5.57927769e-05
6.97972573e+02	9.77363541e-05	5.51443706e-05
7.00184601e+02	9.66412854e-05	5.44939092e-05
7.02403641e+02	9.55427461e-05	5.38413864e-05
7.04629712e+02	9.44483902e-05	5.31919520e-05
7.06862839e+02	9.33807275e-05	5.25607496e-05
7.09103043e+02	9.23096812e-05	5.19275468e-05
7.11350347e+02	9.12352406e-05	5.12923372e-05
7.13604772e+02	9.01573948e-05	5.06551145e-05
7.15866343e+02	8.90906156e-05	5.00254930e-05
7.18135081e+02	8.80437530e-05	4.94093524e-05
7.20411009e+02	8.69935727e-05	4.87912592e-05
7.22694150e+02	8.59400641e-05	4.81712070e-05
7.24984527e+02	8.48832167e-05	4.75491898e-05
7.27282163e+02	8.38441233e-05	4.69391080e-05
7.29587080e+02	8.28180418e-05	4.63378374e-05
7.31899302e+02	8.17887084e-05	4.57346612e-05
7.34218852e+02	8.07561128e-05	4.51295734e-05
7.36545753e+02	7.97202448e-05	4.45225679e-05
7.38880029e+02	7.87084059e-05	4.39316754e-05
7.41221702e+02	7.77027069e-05	4.33450826e-05
7.43570797e+02	7.66938205e-05	4.27566307e-05
7.45927336e+02	7.56817368e-05	4.21663139e-05
7.48291344e+02	7.46664456e-05	4.15741262e-05
7.50662844e+02	7.36814855e-05	4.10020205e-05
7.53041860e+02	7.26960828e-05	4.04298551e-05
7.55428415e+02	7.17075572e-05	3.98558763e-05
7.57822534e+02	7.07158987e-05	3.92800785e-05
7.60224241e+02	6.97249018e-05	3.87049512e-05
7.62633559e+02	6.87625656e-05	3.81488603e-05
7.65050512e+02	6.77971795e-05	3.75910070e-05
7.67475126e+02	6.68287338e-05	3.70313857e-05
7.69907423e+02	6.58572190e-05	3.64699909e-05
7.72347429e+02	6.48927641e-05	3.59134424e-05
7.74795168e+02	6.39503823e-05	3.53715517e-05
7.77250665e+02	6.30050138e-05	3.48279437e-05
7.79713943e+02	6.20566493e-05	3.42826128e-05
7.82185028e+02	6.11052792e-05	3.37355537e-05
7.84663945e+02	6.01671771e-05	3.31972508e-05
7.87150718e+02	5.92445951e-05	3.26691558e-05
7.89645371e+02	5.83190892e-05	3.21393871e-05
7.92147931e+02	5.73906502e-05	3.16079394e-05
7.94658423e+02	5.64592688e-05	3.10748075e-05
7.97176870e+02	5.55469283e-05	3.05609281e-05
7.99703299e+02	5.46435870e-05	3.00567428e-05
8.02237735e+02	5.37373828e-05	2.95509595e-05
8.04780203e+02	5.28283067e-05	2.90435733e-05
8.07330728e+02	5.19163495e-05	2.85345791e-05
8.09889337e+02	5.10292398e-05	2.80239718e-05
8.12456055e+02	5.01449992e-05	2.75117463e-05
8.15030907e+02	4.92579562e-05	2.69978974e-05
