# W0 [GeV]	Sigma_muLHC@7.5 TeV [pb]	Sigma_muLHC@5.3 TeV [pb]
9.18988816e+02	6.58780707e-03	3.52280928e-03
9.22302127e+02	6.28817526e-03	3.36010058e-03
9.25627384e+02	5.98746317e-03	3.19680525e-03
9.28964630e+02	5.69393156e-03	3.03804246e-03
9.32313908e+02	5.40270207e-03	2.88078957e-03
9.35675261e+02	5.11042257e-03	2.72296973e-03
9.39048733e+02	4.81708930e-03	2.56458089e-03
9.42434368e+02	4.52806644e-03	2.40895276e-03
9.45832210e+02	4.24396381e-03	2.25646415e-03
9.49242302e+02	3.95883687e-03	2.10342575e-03
9.52664689e+02	3.67268194e-03	1.94983559e-03
9.56099414e+02	3.38813566e-03	1.79732038e-03
9.59546524e+02	3.11107412e-03	1.64950510e-03
9.63006061e+02	2.83301367e-03	1.50115689e-03
9.66478072e+02	2.55395070e-03	1.35227382e-03
9.69962600e+02	2.27388160e-03	1.20285398e-03
