# W0 [GeV]	Sigma_LHeC [pb]	Sigma_muLHC [pb]	Sigma_FCCmuh [pb]
2.37493656e+02	6.09834968e-03	2.83809898e-02	8.29401531e-02
2.39673608e+02	5.86658267e-03	2.75826282e-02	8.09045652e-02
2.41873570e+02	5.64453252e-03	2.67989838e-02	7.89013398e-02
2.44093725e+02	5.42044418e-03	2.60480439e-02	7.69722361e-02
2.46334260e+02	5.19922425e-03	2.53050204e-02	7.50600276e-02
2.48595360e+02	4.99568219e-03	2.45903792e-02	7.32129485e-02
2.50877215e+02	4.79824479e-03	2.38913863e-02	7.14016045e-02
2.53180015e+02	4.60604759e-03	2.32056215e-02	6.96202407e-02
2.55503952e+02	4.42432926e-03	2.25484659e-02	6.79049226e-02
2.57849220e+02	4.24549410e-03	2.18983031e-02	6.62047146e-02
2.60216016e+02	4.07585689e-03	2.12732827e-02	6.45627916e-02
2.62604537e+02	3.91428947e-03	2.06618080e-02	6.29521244e-02
2.65014982e+02	3.75998537e-03	2.00622397e-02	6.13687626e-02
2.67447552e+02	3.60426492e-03	1.94876325e-02	5.98440370e-02
2.69902451e+02	3.45040429e-03	1.89221529e-02	5.83329361e-02
2.72379883e+02	3.30946712e-03	1.83918523e-02	5.68745430e-02
2.74880056e+02	3.17278744e-03	1.78566841e-02	5.54437391e-02
2.77403178e+02	3.04003376e-03	1.73166035e-02	5.40380422e-02
2.79949459e+02	2.91468442e-03	1.68124589e-02	5.26839530e-02
2.82519113e+02	2.79144254e-03	1.63163431e-02	5.13419071e-02
2.85112354e+02	2.67492477e-03	1.58401896e-02	5.00467574e-02
2.87729398e+02	2.56399171e-03	1.53742993e-02	4.87755206e-02
2.90370463e+02	2.45841871e-03	1.49181595e-02	4.75269319e-02
2.93035771e+02	2.35187667e-03	1.44809468e-02	4.63241090e-02
2.95725544e+02	2.24652020e-03	1.40486100e-02	4.51374858e-02
2.98440007e+02	2.15052074e-03	1.36340578e-02	4.40187955e-02
3.01179385e+02	2.05745388e-03	1.32282958e-02	4.28898369e-02
3.03943908e+02	1.96728776e-03	1.28312107e-02	4.17505155e-02
3.06733807e+02	1.88223920e-03	1.24504506e-02	4.06784090e-02
3.09549314e+02	1.79869710e-03	1.20739764e-02	3.96214084e-02
3.12390664e+02	1.71997499e-03	1.17133063e-02	3.86030126e-02
3.15258096e+02	1.64367068e-03	1.13602798e-02	3.76030440e-02
3.18151847e+02	1.56984191e-03	1.10150913e-02	3.66219862e-02
3.21072160e+02	1.50024825e-03	1.06841225e-02	3.56765055e-02
3.24019279e+02	1.43192134e-03	1.03569332e-02	3.47398077e-02
3.26993449e+02	1.36764626e-03	1.00436851e-02	3.38378611e-02
