# W0 [GeV]	Sigma_LHeC [pb]	Sigma_muLHC [pb]	Sigma_FCCmuh [pb]
5.33028011e+02	7.02550155e-06	1.79162917e-04	8.08508486e-04
5.34133360e+02	6.92562584e-06	1.77878840e-04	8.03694991e-04
5.35241002e+02	6.82626630e-06	1.76597109e-04	7.98886488e-04
5.36350940e+02	6.73495553e-06	1.75369886e-04	7.94238912e-04
5.37463179e+02	6.64345542e-06	1.74140117e-04	7.89581698e-04
5.38577726e+02	6.55176556e-06	1.72907799e-04	7.84914827e-04
5.39694583e+02	6.45988557e-06	1.71672925e-04	7.80238278e-04
5.40813757e+02	6.36781504e-06	1.70435490e-04	7.75552031e-04
5.41935251e+02	6.27555358e-06	1.69195489e-04	7.70856066e-04
5.43059071e+02	6.18310080e-06	1.67952917e-04	7.66150363e-04
5.44185222e+02	6.09657378e-06	1.66752000e-04	7.61567945e-04
5.45313708e+02	6.01225345e-06	1.65565846e-04	7.57027918e-04
5.46444534e+02	5.92775827e-06	1.64377232e-04	7.52478476e-04
5.47577705e+02	5.84308786e-06	1.63186153e-04	7.47919600e-04
5.48713226e+02	5.75824188e-06	1.61992604e-04	7.43351270e-04
5.49851101e+02	5.67321995e-06	1.60796580e-04	7.38773466e-04
5.50991337e+02	5.58802170e-06	1.59598076e-04	7.34186170e-04
5.52133937e+02	5.50551509e-06	1.58418841e-04	7.29655613e-04
5.53278906e+02	5.42797443e-06	1.57276122e-04	7.25234318e-04
5.54426249e+02	5.35027297e-06	1.56131033e-04	7.20803854e-04
5.55575972e+02	5.27241038e-06	1.54983570e-04	7.16364202e-04
5.56728079e+02	5.19438632e-06	1.53833727e-04	7.11915344e-04
5.57882576e+02	5.11620046e-06	1.52681500e-04	7.07457260e-04
5.59039466e+02	5.03785247e-06	1.51526883e-04	7.02989931e-04
5.60198755e+02	4.95934201e-06	1.50369872e-04	6.98513339e-04
5.61360449e+02	4.88820859e-06	1.49269733e-04	6.94210479e-04
5.62524551e+02	4.81694620e-06	1.48167459e-04	6.89899146e-04
5.63691068e+02	4.74553604e-06	1.47062899e-04	6.85578873e-04
5.64860003e+02	4.67397779e-06	1.45956048e-04	6.81249641e-04
5.66031363e+02	4.60227115e-06	1.44846902e-04	6.76911431e-04
5.67205151e+02	4.53041581e-06	1.43735456e-04	6.72564225e-04
5.68381374e+02	4.45841147e-06	1.42621705e-04	6.68208004e-04
5.69560036e+02	4.39078309e-06	1.41560313e-04	6.64015124e-04
5.70741142e+02	4.32560211e-06	1.40527981e-04	6.59912118e-04
5.71924697e+02	4.26028596e-06	1.39493509e-04	6.55800602e-04
5.73110707e+02	4.19483437e-06	1.38456891e-04	6.51680561e-04
5.74299176e+02	4.12924705e-06	1.37418124e-04	6.47551976e-04
5.75490110e+02	4.06352372e-06	1.36377202e-04	6.43414829e-04
5.76683513e+02	3.99766410e-06	1.35334122e-04	6.39269103e-04
5.77879391e+02	3.93350204e-06	1.34288879e-04	6.35114780e-04
5.79077749e+02	3.87403770e-06	1.33241469e-04	6.30951842e-04
5.80278592e+02	3.81445005e-06	1.32191886e-04	6.26780271e-04
5.81481925e+02	3.75473884e-06	1.31140127e-04	6.22600050e-04
5.82687754e+02	3.69490379e-06	1.30086186e-04	6.18411160e-04
5.83896083e+02	3.63494467e-06	1.29030061e-04	6.14213584e-04
5.85106918e+02	3.57486121e-06	1.27971745e-04	6.10007303e-04
5.86320264e+02	3.51465315e-06	1.26911234e-04	6.05792299e-04
5.87536126e+02	3.46003340e-06	1.25926318e-04	6.01819073e-04
5.88754510e+02	3.40583551e-06	1.24946646e-04	5.97861072e-04
5.89975420e+02	3.35152524e-06	1.23964942e-04	5.93894864e-04
5.91198861e+02	3.29710234e-06	1.22981203e-04	5.89920432e-04
5.92424840e+02	3.24256658e-06	1.21995423e-04	5.85937757e-04
5.93653361e+02	3.18791773e-06	1.21007599e-04	5.81946824e-04
5.94884430e+02	3.13315555e-06	1.20017727e-04	5.77947614e-04
5.96118052e+02	3.08149732e-06	1.19055691e-04	5.74038323e-04
5.97354232e+02	3.03233163e-06	1.18115810e-04	5.70200278e-04
5.98592975e+02	2.98306399e-06	1.17173979e-04	5.66354274e-04
5.99834287e+02	2.93369419e-06	1.16230195e-04	5.62500294e-04
6.01078173e+02	2.88422200e-06	1.15284455e-04	5.58638323e-04
6.02324639e+02	2.83464722e-06	1.14336753e-04	5.54768342e-04
6.03573690e+02	2.78496964e-06	1.13387085e-04	5.50890337e-04
6.04825330e+02	2.73622671e-06	1.12445671e-04	5.47037476e-04
6.06079567e+02	2.69174478e-06	1.11545274e-04	5.43316130e-04
6.07336404e+02	2.64717060e-06	1.10643011e-04	5.39587067e-04
6.08595847e+02	2.60250398e-06	1.09738876e-04	5.35850271e-04
6.09857903e+02	2.55774475e-06	1.08832866e-04	5.32105726e-04
6.11122575e+02	2.51289269e-06	1.07924978e-04	5.28353416e-04
6.12389870e+02	2.46794762e-06	1.07015207e-04	5.24593325e-04
6.13659793e+02	2.42290935e-06	1.06103549e-04	5.20825436e-04
6.14932349e+02	2.38194044e-06	1.05232836e-04	5.17191069e-04
